feature,importance
cat__proto_tcp,0.17227702083957908
cat__proto_udp,0.13402693844032473
cat__history_S,0.12880166875827923
cat__history_D,0.07950640797299273
num__id.orig_p,0.07422107057798331
cat__conn_state_REJ,0.04769121611569468
cat__conn_state_S0,0.046001185871978954
cat__history_C,0.04353661845159823
cat__history_Sr,0.03916475645620616
cat__conn_state_OTH,0.03717327597246008
cat__conn_state_SF,0.032403818671836226
cat__history_Dd,0.029375208627742677
num__resp_is_public,0.018887291731224394
num__resp_is_private,0.016352619520919785
num__id.resp_p,0.016340892828868386
cat__proto_icmp,0.01255199872842804
num__orig_is_private,0.006077044559025797
cat__service_irc,0.005160481371776478
cat__history_ShAdDaFf,0.004408569398653247
cat__service_http,0.004005648587846693
cat__service_dns,0.0038932556510114934
cat__conn_state_S3,0.0036903259396478595
cat__history_ShAdDaf,0.003572688964891591
cat__service_ssh,0.003455581911832687
cat__history_ShAFf,0.0031345819906106473
cat__history_F,0.0029085863776314824
cat__conn_state_SH,0.0027232556469124663
cat__conn_state_RSTO,0.002397536717972222
cat__service_ssl,0.0023241639959175817
cat__conn_state_RSTR,0.0022713863311802514
num__pkt_ratio,0.002117947045205276
num__duration,0.0015910404652697723
cat__history_ShADafF,0.0015524148600824718
num__orig_ip_bytes,0.001483430566074098
num__total_pkts,0.0014101520621792613
cat__history_ShAdDaFRR,0.0011467414465262447
num__orig_pkts,0.0009761957802328548
num__byte_ratio,0.0008422591240886784
cat__history_ShADadf,0.00069662986893958
cat__history_ShAdDafF,0.0006669689483006562
num__resp_ip_bytes,0.0006501572435947727
cat__history_ShADadfFr,0.0006355490501188025
num__total_bytes,0.0005919684904893062
cat__history_ShAr,0.0005377025327512673
num__orig_bytes,0.0005293955186682574
cat__conn_state_S1,0.0005125433682579755
num__resp_bytes,0.0004739136086899404
cat__service_dhcp,0.0004571405770373065
num__resp_pkts,0.00045357130609563674
cat__history_ShAa,0.0004480098114928483
cat__conn_state_S2,0.00041317965950231513
cat__history_ShAdfDr,0.0003097586287489704
cat__history_ShADadfr,0.00030944342910148786
cat__history_DRr,0.0003046242036367321
num__bytes_per_second,0.0002567793036299474
cat__history_ShAdDfFr,0.00024408322126374021
cat__history_ShAdDaft,0.00023945233500980307
cat__history_ShADadfF,0.00019627661372454222
cat__history_ShAdDaR,0.00019607106818514652
cat__history_ShADadr,0.0001319558050916795
cat__history_DdA,0.00012985929953985678
cat__history_ShADar,0.00012678518179836176
cat__history_ShAdDaF,0.00010896016922515154
cat__history_ShAdDaFr,0.00010699207108964552
cat__history_ShAdDaFRfR,9.459187270199636e-05
cat__history_^f,8.233719528968084e-05
cat__history_ShAdDaFfRR,7.367001670125277e-05
cat__conn_state_SHR,6.62062147556393e-05
num__missed_bytes,6.54198876598106e-05
cat__history_ShAdDaFR,6.38239751217627e-05
cat__history_ShADadFf,4.959393976798232e-05
cat__history_ShAdDaFRRfR,4.428982787587274e-05
cat__history_ShAdDaFRf,3.968731320081913e-05
cat__history_ShAFaf,3.962976977929743e-05
cat__history_ShAdDaFrR,3.523819894388473e-05
cat__history_ShADF,3.514277933208712e-05
cat__history_^aA,2.6318712591142483e-05
cat__history_ShAdDaFT,2.3771384688627107e-05
cat__history_ShADFa,1.8274084603650794e-05
cat__history_ShADa,1.7846771170309378e-05
cat__history_ShADFr,1.546078774357468e-05
cat__history_^d,8.25540125868544e-06
cat__history_D^,7.76390821017331e-06
cat__history_ShADacdtfF,3.813422890100964e-06
cat__history_ShADadttcfF,3.468399423620683e-06
cat__history_ShADadtcfF,2.3464616203219585e-06
cat__history_ShADadttfF,0.0
cat__history_ShAdDatR,0.0
cat__history_ShADFar,0.0
cat__history_ShAdDaTFf,0.0
cat__history_ShADFaR,0.0
cat__history_ShADCaGcgd,0.0
cat__history_ShAdDafrR,0.0
cat__history_SahAdDFf,0.0
cat__history_ShAdDaftF,0.0
cat__history_ShAdDatFf,0.0
cat__history_SahAdDF,0.0
cat__history_ShADaCGr,0.0
cat__history_HaDdAfF,0.0
cat__history_ShAfFa,0.0
cat__history_DdAtfFa,0.0
cat__history_ShArR,0.0
cat__history_DdAtaFf,0.0
cat__history_DadA,0.0
cat__history_D^d,0.0
cat__conn_state_RSTRH,0.0
cat__history_ShADaCGdtfF,0.0
cat__history_ShADad,0.0
cat__history_ShADaR,0.0
cat__history_ShAadDr,0.0
cat__history_ShADafr,0.0
cat__history_ShADfFr,0.0
cat__history_ShADr,0.0
cat__history_ShADadttWWtf,0.0
cat__history_ShADadtctfFR,0.0
cat__history_ShADadtctfF,0.0
cat__history_ShAaDdFf,0.0
cat__history_ShAadDFf,0.0
cat__history_ShAdD,0.0
cat__history_ShADafdtF,0.0
cat__history_ShAdDFfR,0.0
cat__history_ShADadftF,0.0
cat__history_ShADadft,0.0
cat__history_ShADadfRr,0.0
cat__history_ShADadRf,0.0
cat__history_ShADadRRR,0.0
cat__history_ShAdDaFRfRR,0.0
cat__history_ShADadFfRR,0.0
cat__history_^r,0.0
