feature,importance
num__bytes_per_second,0.4162769625090876
num__resp_is_private,0.3908300984295464
num__resp_is_public,0.3908300984295464
num__duration,0.38288047319085794
num__pkt_ratio,0.3157945204289652
num__byte_ratio,0.30483332470250896
num__id.orig_p,0.19892677368729114
num__resp_bytes,0.17966082665831173
num__resp_pkts,0.17633072994250237
num__resp_ip_bytes,0.17509159701976632
num__total_bytes,0.16283717339360765
num__id.resp_p,0.15893607136461343
num__total_pkts,0.1573565459507048
cat__conn_state_SF,0.15201163766729597
cat__proto_tcp,0.1471596850830431
cat__proto_udp,0.14688435270336872
num__orig_ip_bytes,0.14186889972472297
num__orig_bytes,0.13828638871774568
num__orig_pkts,0.13496715460703412
cat__conn_state_S0,0.11586998979920025
cat__service_ssl,0.04719831462597591
cat__service_http,0.042071029662048655
cat__conn_state_REJ,0.0364169802477701
cat__service_dns,0.005402617343601598
num__orig_is_private,0.0
